Region,Basin,SubBasin,Year,Landuse,Area
Burdekin,Burdekin,Broke Bogie,1999,Grazing,10703.2
Burdekin,Burdekin,Broke Bogie,2009,Grazing,10764.4
Burdekin,Burdekin,Broke Bogie,2016,Grazing,10773.4
Burdekin,Burdekin,Broke Bogie,2021,Grazing,10294.9
Burdekin,Burdekin,Cape Campaspe,1999,Grazing,19491.5
Burdekin,Burdekin,Cape Campaspe,2009,Grazing,19492.3
Burdekin,Burdekin,Cape Campaspe,2016,Grazing,19445
Burdekin,Burdekin,Cape Campaspe,2021,Grazing,19400.7
Burdekin,Burdekin,Lower Burdekin,1999,Grazing,3327.3
Burdekin,Burdekin,Lower Burdekin,2009,Grazing,3331
Burdekin,Burdekin,Lower Burdekin,2016,Grazing,3329.5
Burdekin,Burdekin,Lower Burdekin,2021,Grazing,3145.6
Burdekin,Burdekin,Suttor,1999,Grazing,17668.3
Burdekin,Burdekin,Suttor,2009,Grazing,17628.3
Burdekin,Burdekin,Suttor,2016,Grazing,17462.6
Burdekin,Burdekin,Suttor,2021,Grazing,16059.1
Burdekin,Burdekin,Upper Burdekin,1999,Grazing,36244.2
Burdekin,Burdekin,Upper Burdekin,2009,Grazing,35395.2
Burdekin,Burdekin,Upper Burdekin,2016,Grazing,34936.2
Burdekin,Burdekin,Upper Burdekin,2021,Grazing,31474.1
Burdekin,Haughton,Haughton,1999,Grazing,2366.6
Burdekin,Haughton,Haughton,2009,Grazing,2328.8
Burdekin,Haughton,Haughton,2016,Grazing,2307
Burdekin,Haughton,Haughton,2021,Grazing,2302.2
Dry Tropics,Black,Black River,1999,Grazing,216.8
Dry Tropics,Black,Black River,2009,Grazing,214.6
Dry Tropics,Black,Black River,2016,Grazing,211.3
Dry Tropics,Black,Black River,2021,Grazing,194.7
Dry Tropics,Black,Bluewater Creek,1999,Grazing,222.2
Dry Tropics,Black,Bluewater Creek,2009,Grazing,205.4
Dry Tropics,Black,Bluewater Creek,2016,Grazing,172.8
Dry Tropics,Black,Bluewater Creek,2021,Grazing,168.5
Dry Tropics,Black,Crystal Creek,1999,Grazing,29.3
Dry Tropics,Black,Crystal Creek,2009,Grazing,28.6
Dry Tropics,Black,Crystal Creek,2016,Grazing,28.5
Dry Tropics,Black,Crystal Creek,2021,Grazing,53.5
Dry Tropics,Black,Rollingstone Creek,1999,Grazing,31.3
Dry Tropics,Black,Rollingstone Creek,2009,Grazing,31.3
Dry Tropics,Black,Rollingstone Creek,2016,Grazing,31.3
Dry Tropics,Black,Rollingstone Creek,2021,Grazing,40.1
Dry Tropics,Ross,Alligator Creek,1999,Grazing,80.8
Dry Tropics,Ross,Alligator Creek,2009,Grazing,80.2
Dry Tropics,Ross,Alligator Creek,2016,Grazing,78.4
Dry Tropics,Ross,Alligator Creek,2021,Grazing,69.4
Dry Tropics,Ross,Bohle River,1999,Grazing,200.2
Dry Tropics,Ross,Bohle River,2009,Grazing,172.7
Dry Tropics,Ross,Bohle River,2016,Grazing,151.9
Dry Tropics,Ross,Bohle River,2021,Grazing,148.7
Dry Tropics,Ross,Ross River (Lower),1999,Grazing,0.7
Dry Tropics,Ross,Ross River (Lower),2009,Grazing,0.2
Dry Tropics,Ross,Ross River (Lower),2016,Grazing,0
Dry Tropics,Ross,Ross River (Lower),2021,Grazing,0
Dry Tropics,Ross,Ross River (Upper),1999,Grazing,545.8
Dry Tropics,Ross,Ross River (Upper),2009,Grazing,545.9
Dry Tropics,Ross,Ross River (Upper),2016,Grazing,545.8
Dry Tropics,Ross,Ross River (Upper),2021,Grazing,509.4
Dry Tropics,Ross,Stuart Creek,1999,Grazing,71.9
Dry Tropics,Ross,Stuart Creek,2009,Grazing,71.3
Dry Tropics,Ross,Stuart Creek,2016,Grazing,70
Dry Tropics,Ross,Stuart Creek,2021,Grazing,67.5
Mackay Whitsunday Isaac,Don,Don,1999,Grazing,3167
Mackay Whitsunday Isaac,Don,Don,2009,Grazing,3093.1
Mackay Whitsunday Isaac,Don,Don,2016,Grazing,3079.8
Mackay Whitsunday Isaac,Don,Don,2021,Grazing,2978.9
Mackay Whitsunday Isaac,O'Connell,O'Connell,1999,Grazing,948.5
Mackay Whitsunday Isaac,O'Connell,O'Connell,2009,Grazing,949.6
Mackay Whitsunday Isaac,O'Connell,O'Connell,2016,Grazing,975.7
Mackay Whitsunday Isaac,O'Connell,O'Connell,2021,Grazing,1173.9
Mackay Whitsunday Isaac,Pioneer,Pioneer,1999,Grazing,338.4
Mackay Whitsunday Isaac,Pioneer,Pioneer,2009,Grazing,356.4
Mackay Whitsunday Isaac,Pioneer,Pioneer,2016,Grazing,366.6
Mackay Whitsunday Isaac,Pioneer,Pioneer,2021,Grazing,496.8
Mackay Whitsunday Isaac,Plane,Plane,1999,Grazing,515.1
Mackay Whitsunday Isaac,Plane,Plane,2009,Grazing,550.7
Mackay Whitsunday Isaac,Plane,Plane,2016,Grazing,560.6
Mackay Whitsunday Isaac,Plane,Plane,2021,Grazing,965
Mackay Whitsunday Isaac,Proserpine,Proserpine,1999,Grazing,1134.1
Mackay Whitsunday Isaac,Proserpine,Proserpine,2009,Grazing,1073.7
Mackay Whitsunday Isaac,Proserpine,Proserpine,2016,Grazing,1114.3
Mackay Whitsunday Isaac,Proserpine,Proserpine,2021,Grazing,1232.7
Wet Tropics,Barron,Barron,1999,Grazing,856.3
Wet Tropics,Barron,Barron,2009,Grazing,844.6
Wet Tropics,Barron,Barron,2015,Grazing,874.3
Wet Tropics,Barron,Barron,2021,Grazing,659.1
Wet Tropics,Daintree,Daintree,1999,Grazing,152.4
Wet Tropics,Daintree,Daintree,2009,Grazing,153.3
Wet Tropics,Daintree,Daintree,2015,Grazing,170
Wet Tropics,Daintree,Daintree,2021,Grazing,168.4
Wet Tropics,Herbert,Herbert,1999,Grazing,5494.8
Wet Tropics,Herbert,Herbert,2009,Grazing,5355.5
Wet Tropics,Herbert,Herbert,2015,Grazing,5343.4
Wet Tropics,Herbert,Herbert,2021,Grazing,5040.6
Wet Tropics,Johnstone,Johnstone,1999,Grazing,560.4
Wet Tropics,Johnstone,Johnstone,2009,Grazing,603.1
Wet Tropics,Johnstone,Johnstone,2015,Grazing,628
Wet Tropics,Johnstone,Johnstone,2021,Grazing,502.3
Wet Tropics,Mossman,Mossman,1999,Grazing,13.7
Wet Tropics,Mossman,Mossman,2009,Grazing,16.7
Wet Tropics,Mossman,Mossman,2015,Grazing,16.6
Wet Tropics,Mossman,Mossman,2021,Grazing,26.1
Wet Tropics,Mulgrave,Mulgrave,1999,Grazing,41.8
Wet Tropics,Mulgrave,Mulgrave,2009,Grazing,38.8
Wet Tropics,Mulgrave,Mulgrave,2015,Grazing,41
Wet Tropics,Mulgrave,Mulgrave,2021,Grazing,43.4
Wet Tropics,Murray,Murray,1999,Grazing,80
Wet Tropics,Murray,Murray,2009,Grazing,75.3
Wet Tropics,Murray,Murray,2015,Grazing,82.9
Wet Tropics,Murray,Murray,2021,Grazing,71.6
Wet Tropics,Russell,Russell,1999,Grazing,46.3
Wet Tropics,Russell,Russell,2009,Grazing,52.7
Wet Tropics,Russell,Russell,2015,Grazing,57.7
Wet Tropics,Russell,Russell,2021,Grazing,58.7
Wet Tropics,Tully,Tully,1999,Grazing,110.1
Wet Tropics,Tully,Tully,2009,Grazing,89.2
Wet Tropics,Tully,Tully,2015,Grazing,105.8
Wet Tropics,Tully,Tully,2021,Grazing,108.7
Burdekin,Burdekin,Belyando,1999,Irrigated Agriculture,2.8
Burdekin,Burdekin,Belyando,2009,Irrigated Agriculture,2.8
Burdekin,Burdekin,Belyando,2021,Irrigated Agriculture,20.2
Burdekin,Burdekin,Broke Bogie,1999,Irrigated Agriculture,4.1
Burdekin,Burdekin,Broke Bogie,2009,Irrigated Agriculture,0.4
Burdekin,Burdekin,Broke Bogie,2016,Irrigated Agriculture,0.4
Burdekin,Burdekin,Broke Bogie,2021,Irrigated Agriculture,0.9
Burdekin,Burdekin,Cape Campaspe,1999,Irrigated Agriculture,2.4
Burdekin,Burdekin,Cape Campaspe,2009,Irrigated Agriculture,1.9
Burdekin,Burdekin,Cape Campaspe,2016,Irrigated Agriculture,1.3
Burdekin,Burdekin,Cape Campaspe,2021,Irrigated Agriculture,5.1
Burdekin,Burdekin,Lower Burdekin,1999,Irrigated Agriculture,234.3
Burdekin,Burdekin,Lower Burdekin,2009,Irrigated Agriculture,226.4
Burdekin,Burdekin,Lower Burdekin,2016,Irrigated Agriculture,218.8
Burdekin,Burdekin,Lower Burdekin,2021,Irrigated Agriculture,240
Burdekin,Burdekin,Suttor,2021,Irrigated Agriculture,34.5
Burdekin,Burdekin,Upper Burdekin,1999,Irrigated Agriculture,6.7
Burdekin,Burdekin,Upper Burdekin,2009,Irrigated Agriculture,3.5
Burdekin,Burdekin,Upper Burdekin,2016,Irrigated Agriculture,0.6
Burdekin,Burdekin,Upper Burdekin,2021,Irrigated Agriculture,17.7
Burdekin,Haughton,Haughton,1999,Irrigated Agriculture,765.7
Burdekin,Haughton,Haughton,2009,Irrigated Agriculture,755.3
Burdekin,Haughton,Haughton,2016,Irrigated Agriculture,762.4
Burdekin,Haughton,Haughton,2021,Irrigated Agriculture,801
Dry Tropics,Black,Black River,1999,Irrigated Agriculture,0.4
Dry Tropics,Black,Black River,2009,Irrigated Agriculture,0.1
Dry Tropics,Black,Black River,2016,Irrigated Agriculture,0.1
Dry Tropics,Black,Black River,2021,Irrigated Agriculture,2.1
Dry Tropics,Black,Bluewater Creek,1999,Irrigated Agriculture,0.2
Dry Tropics,Black,Bluewater Creek,2009,Irrigated Agriculture,0.3
Dry Tropics,Black,Bluewater Creek,2016,Irrigated Agriculture,0.3
Dry Tropics,Black,Bluewater Creek,2021,Irrigated Agriculture,1.2
Dry Tropics,Black,Crystal Creek,1999,Irrigated Agriculture,11.5
Dry Tropics,Black,Crystal Creek,2009,Irrigated Agriculture,11.7
Dry Tropics,Black,Crystal Creek,2016,Irrigated Agriculture,11.6
Dry Tropics,Black,Crystal Creek,2021,Irrigated Agriculture,13.8
Dry Tropics,Black,Rollingstone Creek,1999,Irrigated Agriculture,0.7
Dry Tropics,Black,Rollingstone Creek,2009,Irrigated Agriculture,0.7
Dry Tropics,Black,Rollingstone Creek,2016,Irrigated Agriculture,0.8
Dry Tropics,Black,Rollingstone Creek,2021,Irrigated Agriculture,3.2
Dry Tropics,Ross,Alligator Creek,2009,Irrigated Agriculture,0.1
Dry Tropics,Ross,Alligator Creek,2021,Irrigated Agriculture,2.1
Dry Tropics,Ross,Bohle River,2016,Irrigated Agriculture,0.1
Dry Tropics,Ross,Bohle River,2021,Irrigated Agriculture,4.5
Dry Tropics,Ross,Ross River (Lower),2021,Irrigated Agriculture,0
Dry Tropics,Ross,Ross River (Upper),1999,Irrigated Agriculture,0.2
Dry Tropics,Ross,Ross River (Upper),2016,Irrigated Agriculture,0.3
Dry Tropics,Ross,Ross River (Upper),2021,Irrigated Agriculture,3
Dry Tropics,Ross,Stuart Creek,1999,Irrigated Agriculture,2.2
Dry Tropics,Ross,Stuart Creek,2009,Irrigated Agriculture,1.6
Dry Tropics,Ross,Stuart Creek,2016,Irrigated Agriculture,1.2
Dry Tropics,Ross,Stuart Creek,2021,Irrigated Agriculture,1.1
Mackay Whitsunday Isaac,Don,Don,1999,Irrigated Agriculture,82
Mackay Whitsunday Isaac,Don,Don,2009,Irrigated Agriculture,71.5
Mackay Whitsunday Isaac,Don,Don,2016,Irrigated Agriculture,72.9
Mackay Whitsunday Isaac,Don,Don,2021,Irrigated Agriculture,210.5
Mackay Whitsunday Isaac,O'Connell,O'Connell,1999,Irrigated Agriculture,369.1
Mackay Whitsunday Isaac,O'Connell,O'Connell,2009,Irrigated Agriculture,343.1
Mackay Whitsunday Isaac,O'Connell,O'Connell,2016,Irrigated Agriculture,322.6
Mackay Whitsunday Isaac,O'Connell,O'Connell,2021,Irrigated Agriculture,321.9
Mackay Whitsunday Isaac,Pioneer,Pioneer,1999,Irrigated Agriculture,357.2
Mackay Whitsunday Isaac,Pioneer,Pioneer,2009,Irrigated Agriculture,334
Mackay Whitsunday Isaac,Pioneer,Pioneer,2016,Irrigated Agriculture,320.6
Mackay Whitsunday Isaac,Pioneer,Pioneer,2021,Irrigated Agriculture,318.9
Mackay Whitsunday Isaac,Plane,Plane,1999,Irrigated Agriculture,701.3
Mackay Whitsunday Isaac,Plane,Plane,2009,Irrigated Agriculture,665.3
Mackay Whitsunday Isaac,Plane,Plane,2016,Irrigated Agriculture,654
Mackay Whitsunday Isaac,Plane,Plane,2021,Irrigated Agriculture,657.8
Mackay Whitsunday Isaac,Proserpine,Proserpine,1999,Irrigated Agriculture,243.9
Mackay Whitsunday Isaac,Proserpine,Proserpine,2009,Irrigated Agriculture,249.1
Mackay Whitsunday Isaac,Proserpine,Proserpine,2016,Irrigated Agriculture,249.2
Mackay Whitsunday Isaac,Proserpine,Proserpine,2021,Irrigated Agriculture,247.7
Wet Tropics,Barron,Barron,1999,Irrigated Agriculture,149.4
Wet Tropics,Barron,Barron,2009,Irrigated Agriculture,145.3
Wet Tropics,Barron,Barron,2015,Irrigated Agriculture,134
Wet Tropics,Barron,Barron,2021,Irrigated Agriculture,232
Wet Tropics,Daintree,Daintree,2009,Irrigated Agriculture,0.1
Wet Tropics,Daintree,Daintree,2015,Irrigated Agriculture,0.1
Wet Tropics,Daintree,Daintree,2021,Irrigated Agriculture,2.1
Wet Tropics,Herbert,Herbert,1999,Irrigated Agriculture,189.9
Wet Tropics,Herbert,Herbert,2009,Irrigated Agriculture,168.1
Wet Tropics,Herbert,Herbert,2015,Irrigated Agriculture,174.1
Wet Tropics,Herbert,Herbert,2021,Irrigated Agriculture,213
Wet Tropics,Johnstone,Johnstone,1999,Irrigated Agriculture,8.8
Wet Tropics,Johnstone,Johnstone,2009,Irrigated Agriculture,8.9
Wet Tropics,Johnstone,Johnstone,2015,Irrigated Agriculture,8.3
Wet Tropics,Johnstone,Johnstone,2021,Irrigated Agriculture,77.4
Wet Tropics,Mossman,Mossman,1999,Irrigated Agriculture,0.1
Wet Tropics,Mossman,Mossman,2009,Irrigated Agriculture,0.1
Wet Tropics,Mossman,Mossman,2015,Irrigated Agriculture,0.1
Wet Tropics,Mossman,Mossman,2021,Irrigated Agriculture,0.7
Wet Tropics,Mulgrave,Mulgrave,1999,Irrigated Agriculture,1.3
Wet Tropics,Mulgrave,Mulgrave,2009,Irrigated Agriculture,0.4
Wet Tropics,Mulgrave,Mulgrave,2015,Irrigated Agriculture,0
Wet Tropics,Mulgrave,Mulgrave,2021,Irrigated Agriculture,3.9
Wet Tropics,Murray,Murray,1999,Irrigated Agriculture,0.8
Wet Tropics,Murray,Murray,2009,Irrigated Agriculture,0.3
Wet Tropics,Murray,Murray,2015,Irrigated Agriculture,0.1
Wet Tropics,Murray,Murray,2021,Irrigated Agriculture,8.4
Wet Tropics,Russell,Russell,2015,Irrigated Agriculture,0
Wet Tropics,Russell,Russell,2021,Irrigated Agriculture,12
Wet Tropics,Tully,Tully,1999,Irrigated Agriculture,0.1
Wet Tropics,Tully,Tully,2009,Irrigated Agriculture,0
Wet Tropics,Tully,Tully,2015,Irrigated Agriculture,0.1
Wet Tropics,Tully,Tully,2021,Irrigated Agriculture,44.3
Burdekin,Burdekin,Belyando,1999,Mining,1
Burdekin,Burdekin,Belyando,2009,Mining,1.8
Burdekin,Burdekin,Belyando,2016,Mining,4.2
Burdekin,Burdekin,Belyando,2021,Mining,27.2
Burdekin,Burdekin,Broke Bogie,1999,Mining,40.3
Burdekin,Burdekin,Broke Bogie,2009,Mining,52.8
Burdekin,Burdekin,Broke Bogie,2016,Mining,69
Burdekin,Burdekin,Broke Bogie,2021,Mining,83
Burdekin,Burdekin,Cape Campaspe,1999,Mining,6.4
Burdekin,Burdekin,Cape Campaspe,2009,Mining,6.7
Burdekin,Burdekin,Cape Campaspe,2016,Mining,7.7
Burdekin,Burdekin,Cape Campaspe,2021,Mining,9.3
Burdekin,Burdekin,Lower Burdekin,1999,Mining,0.1
Burdekin,Burdekin,Lower Burdekin,2009,Mining,0.6
Burdekin,Burdekin,Lower Burdekin,2016,Mining,0.8
Burdekin,Burdekin,Lower Burdekin,2021,Mining,0.8
Burdekin,Burdekin,Suttor,1999,Mining,8.4
Burdekin,Burdekin,Suttor,2009,Mining,26.8
Burdekin,Burdekin,Suttor,2016,Mining,30
Burdekin,Burdekin,Suttor,2021,Mining,51.5
Burdekin,Burdekin,Upper Burdekin,1999,Mining,29
Burdekin,Burdekin,Upper Burdekin,2009,Mining,34.9
Burdekin,Burdekin,Upper Burdekin,2016,Mining,36
Burdekin,Burdekin,Upper Burdekin,2021,Mining,39.2
Burdekin,Haughton,Haughton,1999,Mining,2.2
Burdekin,Haughton,Haughton,2009,Mining,2.7
Burdekin,Haughton,Haughton,2016,Mining,3.1
Burdekin,Haughton,Haughton,2021,Mining,3.2
Dry Tropics,Black,Black River,1999,Mining,3.2
Dry Tropics,Black,Black River,2009,Mining,3.2
Dry Tropics,Black,Black River,2016,Mining,3.2
Dry Tropics,Black,Black River,2021,Mining,3.2
Dry Tropics,Black,Bluewater Creek,1999,Mining,1
Dry Tropics,Black,Bluewater Creek,2009,Mining,1.6
Dry Tropics,Black,Bluewater Creek,2016,Mining,1.9
Dry Tropics,Black,Bluewater Creek,2021,Mining,1.9
Dry Tropics,Black,Crystal Creek,1999,Mining,0
Dry Tropics,Black,Crystal Creek,2009,Mining,0
Dry Tropics,Black,Palm Islands,1999,Mining,0.1
Dry Tropics,Black,Palm Islands,2009,Mining,0
Dry Tropics,Black,Palm Islands,2016,Mining,0
Dry Tropics,Black,Palm Islands,2021,Mining,0
Dry Tropics,Black,Rollingstone Creek,1999,Mining,0
Dry Tropics,Black,Rollingstone Creek,2009,Mining,0
Dry Tropics,Black,Rollingstone Creek,2016,Mining,0.1
Dry Tropics,Black,Rollingstone Creek,2021,Mining,0.1
Dry Tropics,Ross,Alligator Creek,1999,Mining,0.1
Dry Tropics,Ross,Alligator Creek,2009,Mining,0.1
Dry Tropics,Ross,Alligator Creek,2016,Mining,0.3
Dry Tropics,Ross,Alligator Creek,2021,Mining,0.3
Dry Tropics,Ross,Bohle River,1999,Mining,0.8
Dry Tropics,Ross,Bohle River,2009,Mining,1.4
Dry Tropics,Ross,Bohle River,2016,Mining,1.6
Dry Tropics,Ross,Bohle River,2021,Mining,1.6
Dry Tropics,Ross,Ross River (Lower),1999,Mining,0.1
Dry Tropics,Ross,Ross River (Lower),2009,Mining,0.1
Dry Tropics,Ross,Ross River (Lower),2016,Mining,0.1
Dry Tropics,Ross,Ross River (Lower),2021,Mining,0.1
Dry Tropics,Ross,Ross River (Upper),1999,Mining,0.6
Dry Tropics,Ross,Ross River (Upper),2009,Mining,0.8
Dry Tropics,Ross,Ross River (Upper),2016,Mining,1.1
Dry Tropics,Ross,Ross River (Upper),2021,Mining,1.1
Dry Tropics,Ross,Stuart Creek,1999,Mining,1.4
Dry Tropics,Ross,Stuart Creek,2009,Mining,2.1
Dry Tropics,Ross,Stuart Creek,2016,Mining,2.4
Dry Tropics,Ross,Stuart Creek,2021,Mining,2.4
Mackay Whitsunday Isaac,Don,Don,1999,Mining,2.3
Mackay Whitsunday Isaac,Don,Don,2009,Mining,2.8
Mackay Whitsunday Isaac,Don,Don,2016,Mining,3.4
Mackay Whitsunday Isaac,Don,Don,2021,Mining,4.1
Mackay Whitsunday Isaac,O'Connell,O'Connell,1999,Mining,1.7
Mackay Whitsunday Isaac,O'Connell,O'Connell,2009,Mining,1.8
Mackay Whitsunday Isaac,O'Connell,O'Connell,2016,Mining,1.9
Mackay Whitsunday Isaac,O'Connell,O'Connell,2021,Mining,1.9
Mackay Whitsunday Isaac,Pioneer,Pioneer,1999,Mining,0.8
Mackay Whitsunday Isaac,Pioneer,Pioneer,2009,Mining,1
Mackay Whitsunday Isaac,Pioneer,Pioneer,2016,Mining,1.4
Mackay Whitsunday Isaac,Pioneer,Pioneer,2021,Mining,1.2
Mackay Whitsunday Isaac,Plane,Plane,1999,Mining,1.6
Mackay Whitsunday Isaac,Plane,Plane,2009,Mining,2
Mackay Whitsunday Isaac,Plane,Plane,2016,Mining,2.6
Mackay Whitsunday Isaac,Plane,Plane,2021,Mining,2.5
Mackay Whitsunday Isaac,Proserpine,Proserpine,1999,Mining,0.9
Mackay Whitsunday Isaac,Proserpine,Proserpine,2009,Mining,1.4
Mackay Whitsunday Isaac,Proserpine,Proserpine,2016,Mining,1.4
Mackay Whitsunday Isaac,Proserpine,Proserpine,2021,Mining,1.5
Wet Tropics,Barron,Barron,1999,Mining,3.2
Wet Tropics,Barron,Barron,2009,Mining,3.5
Wet Tropics,Barron,Barron,2015,Mining,3.8
Wet Tropics,Barron,Barron,2021,Mining,3.7
Wet Tropics,Daintree,Daintree,1999,Mining,0.1
Wet Tropics,Herbert,Herbert,1999,Mining,2.8
Wet Tropics,Herbert,Herbert,2009,Mining,3.7
Wet Tropics,Herbert,Herbert,2015,Mining,4
Wet Tropics,Herbert,Herbert,2021,Mining,5.5
Wet Tropics,Johnstone,Johnstone,1999,Mining,0.9
Wet Tropics,Johnstone,Johnstone,2009,Mining,1.2
Wet Tropics,Johnstone,Johnstone,2015,Mining,1.2
Wet Tropics,Johnstone,Johnstone,2021,Mining,1.2
Wet Tropics,Mossman,Mossman,1999,Mining,0.3
Wet Tropics,Mossman,Mossman,2009,Mining,0.3
Wet Tropics,Mossman,Mossman,2015,Mining,0.3
Wet Tropics,Mossman,Mossman,2021,Mining,0.4
Wet Tropics,Mulgrave,Mulgrave,1999,Mining,1
Wet Tropics,Mulgrave,Mulgrave,2009,Mining,1.1
Wet Tropics,Mulgrave,Mulgrave,2015,Mining,1.1
Wet Tropics,Mulgrave,Mulgrave,2021,Mining,1.2
Wet Tropics,Murray,Murray,1999,Mining,0.3
Wet Tropics,Murray,Murray,2009,Mining,0.3
Wet Tropics,Murray,Murray,2015,Mining,0.4
Wet Tropics,Murray,Murray,2021,Mining,0.4
Wet Tropics,Russell,Russell,1999,Mining,0.1
Wet Tropics,Russell,Russell,2009,Mining,0.1
Wet Tropics,Russell,Russell,2015,Mining,0.1
Wet Tropics,Russell,Russell,2021,Mining,0.1
Wet Tropics,Tully,Tully,1999,Mining,0.4
Wet Tropics,Tully,Tully,2009,Mining,0.5
Wet Tropics,Tully,Tully,2015,Mining,0.6
Wet Tropics,Tully,Tully,2021,Mining,0.6
Burdekin,Burdekin,Belyando,1999,Urban/Intensive,37
Burdekin,Burdekin,Belyando,2009,Urban/Intensive,44.5
Burdekin,Burdekin,Belyando,2016,Urban/Intensive,47.6
Burdekin,Burdekin,Belyando,2021,Urban/Intensive,29.5
Burdekin,Burdekin,Broke Bogie,1999,Urban/Intensive,22.5
Burdekin,Burdekin,Broke Bogie,2009,Urban/Intensive,27.1
Burdekin,Burdekin,Broke Bogie,2016,Urban/Intensive,24.7
Burdekin,Burdekin,Broke Bogie,2021,Urban/Intensive,34.4
Burdekin,Burdekin,Cape Campaspe,1999,Urban/Intensive,19.3
Burdekin,Burdekin,Cape Campaspe,2009,Urban/Intensive,22
Burdekin,Burdekin,Cape Campaspe,2016,Urban/Intensive,23.8
Burdekin,Burdekin,Cape Campaspe,2021,Urban/Intensive,20.1
Burdekin,Burdekin,Lower Burdekin,1999,Urban/Intensive,12.5
Burdekin,Burdekin,Lower Burdekin,2009,Urban/Intensive,23.7
Burdekin,Burdekin,Lower Burdekin,2016,Urban/Intensive,33.6
Burdekin,Burdekin,Lower Burdekin,2021,Urban/Intensive,12.5
Burdekin,Burdekin,Suttor,1999,Urban/Intensive,20.7
Burdekin,Burdekin,Suttor,2009,Urban/Intensive,32.7
Burdekin,Burdekin,Suttor,2016,Urban/Intensive,32.8
Burdekin,Burdekin,Suttor,2021,Urban/Intensive,17.2
Burdekin,Burdekin,Upper Burdekin,1999,Urban/Intensive,87.8
Burdekin,Burdekin,Upper Burdekin,2009,Urban/Intensive,104.3
Burdekin,Burdekin,Upper Burdekin,2016,Urban/Intensive,113.1
Burdekin,Burdekin,Upper Burdekin,2021,Urban/Intensive,116.7
Burdekin,Haughton,Haughton,1999,Urban/Intensive,86.7
Burdekin,Haughton,Haughton,2009,Urban/Intensive,115.8
Burdekin,Haughton,Haughton,2016,Urban/Intensive,123.1
Burdekin,Haughton,Haughton,2021,Urban/Intensive,71.3
Dry Tropics,Black,Black River,1999,Urban/Intensive,25.3
Dry Tropics,Black,Black River,2009,Urban/Intensive,29
Dry Tropics,Black,Black River,2016,Urban/Intensive,30.1
Dry Tropics,Black,Black River,2021,Urban/Intensive,29.2
Dry Tropics,Black,Bluewater Creek,1999,Urban/Intensive,20.5
Dry Tropics,Black,Bluewater Creek,2009,Urban/Intensive,20.8
Dry Tropics,Black,Bluewater Creek,2016,Urban/Intensive,21.4
Dry Tropics,Black,Bluewater Creek,2021,Urban/Intensive,20.6
Dry Tropics,Black,Crystal Creek,1999,Urban/Intensive,7.8
Dry Tropics,Black,Crystal Creek,2009,Urban/Intensive,8.1
Dry Tropics,Black,Crystal Creek,2016,Urban/Intensive,8.4
Dry Tropics,Black,Crystal Creek,2021,Urban/Intensive,5.3
Dry Tropics,Black,Palm Islands,1999,Urban/Intensive,1.2
Dry Tropics,Black,Palm Islands,2009,Urban/Intensive,1.2
Dry Tropics,Black,Palm Islands,2016,Urban/Intensive,1.3
Dry Tropics,Black,Palm Islands,2021,Urban/Intensive,1.3
Dry Tropics,Black,Rollingstone Creek,1999,Urban/Intensive,7.9
Dry Tropics,Black,Rollingstone Creek,2009,Urban/Intensive,8
Dry Tropics,Black,Rollingstone Creek,2016,Urban/Intensive,8.2
Dry Tropics,Black,Rollingstone Creek,2021,Urban/Intensive,5.6
Dry Tropics,Ross,Alligator Creek,1999,Urban/Intensive,26.7
Dry Tropics,Ross,Alligator Creek,2009,Urban/Intensive,27.7
Dry Tropics,Ross,Alligator Creek,2016,Urban/Intensive,27.9
Dry Tropics,Ross,Alligator Creek,2021,Urban/Intensive,26.6
Dry Tropics,Ross,Bohle River,1999,Urban/Intensive,61.3
Dry Tropics,Ross,Bohle River,2009,Urban/Intensive,80.8
Dry Tropics,Ross,Bohle River,2016,Urban/Intensive,89
Dry Tropics,Ross,Bohle River,2021,Urban/Intensive,86.7
Dry Tropics,Ross,Magnetic Island,1999,Urban/Intensive,5.2
Dry Tropics,Ross,Magnetic Island,2009,Urban/Intensive,5.6
Dry Tropics,Ross,Magnetic Island,2016,Urban/Intensive,5.8
Dry Tropics,Ross,Magnetic Island,2021,Urban/Intensive,5.8
Dry Tropics,Ross,Ross River (Lower),1999,Urban/Intensive,70.1
Dry Tropics,Ross,Ross River (Lower),2009,Urban/Intensive,74.3
Dry Tropics,Ross,Ross River (Lower),2016,Urban/Intensive,76.4
Dry Tropics,Ross,Ross River (Lower),2021,Urban/Intensive,76.9
Dry Tropics,Ross,Ross River (Upper),1999,Urban/Intensive,15.1
Dry Tropics,Ross,Ross River (Upper),2009,Urban/Intensive,17.3
Dry Tropics,Ross,Ross River (Upper),2016,Urban/Intensive,17.6
Dry Tropics,Ross,Ross River (Upper),2021,Urban/Intensive,13.8
Dry Tropics,Ross,Stuart Creek,1999,Urban/Intensive,9.5
Dry Tropics,Ross,Stuart Creek,2009,Urban/Intensive,11.9
Dry Tropics,Ross,Stuart Creek,2016,Urban/Intensive,12.6
Dry Tropics,Ross,Stuart Creek,2021,Urban/Intensive,13.8
Mackay Whitsunday Isaac,Don,Don,1999,Urban/Intensive,140
Mackay Whitsunday Isaac,Don,Don,2009,Urban/Intensive,160.1
Mackay Whitsunday Isaac,Don,Don,2016,Urban/Intensive,174.3
Mackay Whitsunday Isaac,Don,Don,2021,Urban/Intensive,52.4
